1;001;1;32.05.33.2001
2;002;1;32.05.33.2001
3;003;2;32.05.33.2001
4;004;2;32.05.33.2001
5;005;3;32.05.33.2001
6;006;3;32.05.33.2001
7;001;3;32.05.33.2002
8;002;3;32.05.33.2002
9;003;3;32.05.33.2002
10;004;3;32.05.33.2002
11;005;3;32.05.33.2002
12;006;3;32.05.33.2002
13;007;3;32.05.33.2002
14;008;3;32.05.33.2002
15;009;3;32.05.33.2002
16;010;3;32.05.33.2002
17;011;3;32.05.33.2002
18;012;3;32.05.33.2002
19;001;3;32.05.33.2003
20;002;3;32.05.33.2003
21;003;3;32.05.33.2003
22;004;3;32.05.33.2003
23;005;3;32.05.33.2003
24;006;3;32.05.33.2003
25;007;3;32.05.33.2003
26;008;3;32.05.33.2003
27;009;3;32.05.33.2003
28;010;3;32.05.33.2003
29;011;3;32.05.33.2003
30;012;3;32.05.33.2003
31;013;3;32.05.33.2003
32;014;3;32.05.33.2003
33;001;1;32.05.33.2004
34;002;2;32.05.33.2004
35;003;3;32.05.33.2004
36;004;4;32.05.33.2004
37;005;5;32.05.33.2004
38;006;6;32.05.33.2004
39;007;1;32.05.33.2004
40;008;2;32.05.33.2004
41;009;5;32.05.33.2004
42;010;4;32.05.33.2004
43;011;6;32.05.33.2004
44;012;1;32.05.33.2004
45;001;1;32.05.33.2005
46;002;1;32.05.33.2005
47;003;2;32.05.33.2005
48;004;2;32.05.33.2005
49;005;3;32.05.33.2005
50;006;3;32.05.33.2005
51;007;4;32.05.33.2005
52;008;4;32.05.33.2005
53;009;1;32.05.33.2005
54;001;1;32.05.33.2006
55;002;2;32.05.33.2006
56;003;1;32.05.33.2006
57;004;3;32.05.33.2006
58;005;2;32.05.33.2006
59;006;3;32.05.33.2006
60;007;3;32.05.33.2006
61;001;3;32.05.33.2007
62;002;3;32.05.33.2007
63;003;3;32.05.33.2007
64;004;3;32.05.33.2007
65;005;3;32.05.33.2007
66;001;1;32.05.33.2008
67;002;1;32.05.33.2008
68;006;1;32.05.33.2008
69;008;1;32.05.33.2008
70;010;1;32.05.33.2008
71;011;1;32.05.33.2008
72;013;1;32.05.33.2008
73;003;2;32.05.33.2008
74;004;2;32.05.33.2008
75;007;2;32.05.33.2008
76;009;2;32.05.33.2008
77;005;3;32.05.33.2008
78;012;3;32.05.33.2008
79;001;1;32.05.33.2009
80;002;1;32.05.33.2009
81;003;1;32.05.33.2009
82;004;2;32.05.33.2009
83;005;2;32.05.33.2009
84;006;3;32.05.33.2009
85;007;3;32.05.33.2009
86;008;4;32.05.33.2009
87;009;4;32.05.33.2009
88;010;4;32.05.33.2009
89;011;4;32.05.33.2009
90;001;1;32.05.33.2010
91;002;1;32.05.33.2010
92;003;3;32.05.33.2010
93;004;3;32.05.33.2010
94;005;3;32.05.33.2010
95;006;2;32.05.33.2010
96;007;2;32.05.33.2010
97;008;2;32.05.33.2010
98;009;2;32.05.33.2010
99;010;2;32.05.33.2010
100;011;2;32.05.33.2010
101;001;2;32.05.33.2011
102;002;2;32.05.33.2011
103;003;2;32.05.33.2011
104;004;2;32.05.33.2011
105;005;2;32.05.33.2011
106;006;2;32.05.33.2011
107;007;2;32.05.33.2011
108;001;2;32.05.33.2012
109;002;2;32.05.33.2012
110;003;2;32.05.33.2012
111;004;2;32.05.33.2012
112;005;2;32.05.33.2012
113;006;2;32.05.33.2012
114;007;2;32.05.33.2012
115;008;2;32.05.33.2012
116;009;2;32.05.33.2012
117;010;2;32.05.33.2012
118;011;2;32.05.33.2012
119;012;2;32.05.33.2012
120;013;2;32.05.33.2012
121;001;1;32.05.33.2013
122;002;1;32.05.33.2013
123;003;2;32.05.33.2013
124;004;2;32.05.33.2013
125;005;3;32.05.33.2013
126;006;3;32.05.33.2013
